Algorithm : Kruskal's MST
MST edges:
54393 82256 -10
81591 99344 -10
54288 89180 -10
54248 70946 -10
54250 62271 -10
8601 39151 -10
8602 28393 -10
68349 82142 -10
39902 55220 -10
14307 46451 -10
18607 28177 -10
21211 30069 -10
14318 47443 -10
8608 45477 -10
18602 87171 -10
14320 16152 -10
14364 38312 -10
24300 58850 -10
27769 38511 -10
34468 44728 -10
54301 91773 -10
703 45556 -10
11417 24922 -10
27782 56552 -10
54306 99057 -10
8614 23310 -10
46437 95757 -10
5847 74257 -10
5847 22075 -10
34456 52333 -10
24241 97769 -10
5806 12757 -10
8643 88035 -10
68091 91273 -10
27861 42414 -10
46355 58197 -10
54453 83563 -10
27862 72892 -10
27864 75727 -10
2504 29126 -10
68079 87002 -10
685 31635 -10
2506 5061 -10
8646 21643 -10
14390 75193 -10
54460 64473 -10
46346 62070 -10
11387 81463 -10
34354 97124 -10
24238 29428 -10
34353 37762 -10
682 84260 -10
46342 75034 -10
14393 68283 -10
81740 96778 -10
46337 46745 -10
5796 27542 -10
11381 12720 -10
27839 95631 -10
39957 81669 -10
81598 97109 -10
27825 35712 -10
54406 74242 -10
46394 97520 -10
46392 92663 -10
18566 36601 -10
39971 62737 -10
34392 68172 -10
81626 94355 -10
14371 27395 -10
34385 79637 -10
5814 16750 -10
2453 8685 -10
18558 54102 -10
54422 86498 -10
690 56044 -10
2497 10558 -10
5812 93430 -10
2498 43633 -10
5812 11181 -10
14380 45928 -10
2500 5686 -10
27859 87805 -10
5807 75171 -10
11391 44995 -10
2423 5145 -10
34579 60914 -10
68557 81842 -10
34577 69925 -10
34576 52912 -10
5925 69056 -10
34573 55292 -10
68544 90714 -10
731 25759 -10
2421 14276 -10
54107 76079 -10
46562 59705 -10
14262 71990 -10
5921 25032 -10
68566 91534 -10
8564 27527 -10
8566 49218 -10
39831 93532 -10
27687 79108 -10
2424 56435 -10
34561 66943 -10
21169 92008 -10
21170 30788 -10
11457 74262 -10
5912 86672 -10
46536 65442 -10
34545 34818 -10
18654 48199 -10
18675 50422 -10
11487 87736 -10
34612 87204 -10
5948 13371 -10
11486 46618 -10
5947 35028 -10
39783 45401 -10
68622 83085 -10
34608 69261 -10
8549 23106 -10
54062 68161 -10
27659 95633 -10
54071 82224 -10
39786 63815 -10
27698 86368 -10
54074 83975 -10
27662 95169 -10
27663 91504 -10
735 4137 -10
46592 62905 -10
5931 65146 -10
68580 82412 -10
2415 57674 -10
27670 57201 -10
5927 25026 -10
14257 66173 -10
34579 60000 -10
11475 85639 -10
14295 70444 -10
24328 24940 -10
27715 89258 -10
81281 95689 -10
68418 84440 -10
14289 31412 -10
18632 24413 -10
34516 37461 -10
18629 25578 -10
14290 43088 -10
5886 91635 -10
34507 90463 -10
14293 40011 -10
714 12621 -10
68426 98424 -10
27738 29135 -10
54224 91447 -10
24319 54236 -10
81334 86299 -10
68386 76626 -10
8592 9699 -10
713 1352 -10
68386 71188 -10
46481 82386 -10
2450 12607 -10
11430 50514 -10
21199 68831 -10
46473 73802 -10
24342 37981 -10
11453 38098 -10
5907 86444 -10
8573 12285 -10
68504 88732 -10
5905 8787 -10
39852 55144 -10
723 82292 -10
2433 91853 -10
81224 95030 -10
2434 5343 -10
81229 84733 -10
27704 73285 -10
34532 92957 -10
45738 54617 -10
39863 77661 -10
27706 43637 -10
11442 34072 -10
14282 21562 -10
34530 96782 -10
18640 79901 -10
5898 18229 -10
54178 86576 -10
11438 85221 -10
68427 79341 -10
24333 76487 -10
2440 10781 -10
416 434 -10
56874 82488 -10
65402 83146 -10
45029 99338 -10
3002 58302 -10
56881 99265 -10
10874 76916 -10
45028 63514 -10
45027 84491 -10
65397 68026 -10
23621 25221 -10
17845 32347 -10
65394 74966 -10
65394 93296 -10
17848 64150 -10
415 46234 -10
23616 55372 -10
3008 27741 -10
65385 77323 -10
23614 59273 -10
32918 72202 -10
17841 89422 -10
85646 87138 -10
32913 49167 -10
15248 97050 -10
5066 11182 -10
21754 59902 -10
3015 3535 -10
5087 62748 -10
21727 80733 -10
5101 11220 -10
56810 58866 -10
23637 61668 -10
9154 85733 -10
56812 96261 -10
424 81590 -10
424 47196 -10
424 23004 -10
9155 78153 -10
32960 92835 -10
9157 48235 -10
2994 6054 -10
28900 81175 -10
21737 22335 -10
56834 98685 -10
5086 70053 -10
45044 73141 -10
28872 31407 -10
17854 71357 -10
421 58781 -10
28874 50568 -10
10880 35284 -10
85516 96545 -10
2998 93199 -10
419 18444 -10
15233 53820 -10
32845 71689 -10
5043 86906 -10
404 5614 -10
15279 52899 -10
56999 68591 -10
9199 11137 -10
17820 71221 -10
15280 75774 -10
65284 78112 -10
21772 35879 -10
15283 23571 -10
41156 77603 -10
57012 77779 -10
32847 38613 -10
41139 68921 -10
23574 59463 -10
57015 97351 -10
10838 97667 -10
28944 82573 -10
3035 28457 -10
32843 40446 -10
85946 94086 -10
41160 89706 -10
399 61497 -10
32841 63393 -10
32840 41622 -10
3038 21641 -10
397 73366 -10
44980 64904 -10
32903 59364 -10
10862 80640 -10
41104 42421 -10
9180 32446 -10
17837 53304 -10
3017 16488 -10
56939 61699 -10
45002 63238 -10
5058 80515 -10
3018 49866 -10
5055 19976 -10
23595 64787 -10
32873 87645 -10
45062 86759 -10
17830 79847 -10
10852 49337 -10
9191 24200 -10
85817 91847 -10
28912 94626 -10
28914 51193 -10
23588 93109 -10
9192 81949 -10
56975 67575 -10
28923 30303 -10
32854 48203 -10
65309 75845 -10
17909 33250 -10
28760 94114 -10
17919 18879 -10
33059 48115 -10
443 1986 -10
40980 87893 -10
56640 77232 -10
85108 87812 -10
17913 65334 -10
23684 37829 -10
5144 25982 -10
9114 32172 -10
5144 42884 -10
442 37341 -10
10931 21951 -10
33045 49336 -10
17909 25208 -10
5140 23660 -10
9117 35268 -10
17905 49601 -10
28785 89635 -10
65623 77157 -10
440 7027 -10
17904 82528 -10
40999 99939 -10
15162 70204 -10
17904 19314 -10
15171 55946 -10
9102 94919 -10
56557 76278 -10
40953 75912 -10
45186 98845 -10
10942 87589 -10
15135 76997 -10
23707 56410 -10
40955 68822 -10
2935 4961 -10
65726 84143 -10
85012 86378 -10
2936 82768 -10
449 3696 -10
40963 56359 -10
41005 41950 -10
28746 33147 -10
65706 94418 -10
33072 43295 -10
17928 63442 -10
56599 85094 -10
5155 19227 -10
9106 36413 -10
9106 81815 -10
33066 46851 -10
21686 84969 -10
28755 32954 -10
21688 23337 -10
21688 28514 -10
21721 29656 -10
45098 65516 -10
45096 61182 -10
